original_language,overview,title,budget,revenue,runtime,release_date,popularity,vote_average,vote_count,genres
en,"When minor-league hockey player Derek Thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. Soon, Derek is inspired to rekindle his youthful dreams.",Tooth Fairy,48000000,112462508,101,2010-01-14,5.9335,5.483,2053,"['Comedy', 'Family', 'Fantasy']"
en,"When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",Crocodile Dundee,5000000,328203506,104,1986-09-26,5.7324,6.423,2001,"['Adventure', 'Comedy']"
ko,An ex-special agent is involved in a convoluted drug ring drama. He has to save a drug smuggler's innocent daughter from being the victim of her parents' fight.,The Man from Nowhere,1255000,43059790,119,2010-08-04,5.4202,7.704,1398,"['Action', 'Thriller', 'Crime']"
en,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,Cats & Dogs: The Revenge of Kitty Galore,85000000,112483764,82,2010-07-29,5.4534,5.198,668,"['Family', 'Adventure', 'Comedy', 'Fantasy', 'Action']"
en,"Talented rookie race-car driver Jimmy Bly has started losing his focus and begins to slip in the race rankings. It's no wonder, with the immense pressure being shoveled on him by his overly ambitious promoter brother as well as Bly's romance with his arch rival's girlfriend Sophia. With much riding on Bly, car owner Carl Henry brings former racing star Joe Tanto on board to help Bly. To drive Bly back to the top of the rankings, Tanto must first deal with the emotional scars left over from a tragic racing accident which nearly took his life.",Driven,94000000,54744738,116,2001-04-27,5.4813,5.146,775,"['Action', 'Drama']"
en,"An art dealer, Charles Mortdecai, searches for a stolen painting rumored to contain a secret code that gains access to hidden Nazi gold.",Mortdecai,60000000,47318560,107,2015-01-21,5.498,5.516,2696,"['Comedy', 'Adventure']"
en,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",Zero Dark Thirty,40000000,132800000,157,2012-12-19,5.3996,6.994,4702,"['Thriller', 'Drama']"
en,"Mick Haller is a charismatic defense attorney who does business out of his Lincoln Continental sedan. Mick spends most of his time defending petty crooks and other bottom-feeders, so it comes as quite a surprise when he lands the case of a lifetime: defending a Beverly Hills playboy who is accused of attempted murder. However, what Mick initially thinks is an open-and-shut case with a big monetary reward develops into something more sinister.",The Lincoln Lawyer,40000000,85412898,119,2011-03-17,5.2972,7.197,3454,"['Crime', 'Drama', 'Thriller']"
en,"After her son Kevin commits a horrific act, troubled mother Eva reflects on her complicated relationship with her disturbed son as he grew from a toddler into a teenager.",We Need to Talk About Kevin,7000000,10800000,113,2011-09-28,5.6693,7.55,2969,"['Drama', 'Thriller']"
en,"During a summer of friendship and adventure, one boy becomes a part of the gang, nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall.",The Sandlot,7000000,34348444,101,1993-04-07,6.0567,7.539,1248,"['Family', 'Comedy']"
en,"A passenger train has been hijacked by an electronics expert and turned into an untraceable command center for a weapons satellite. He has planned to blow up Washington DC and only one man can stop him, former Navy SEAL Casey Ryback.",Under Siege 2: Dark Territory,60000000,104324083,99,1995-07-13,5.7213,5.848,966,"['Action', 'Thriller']"
en,"An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.",Traffic,48000000,207500000,147,2000-12-27,5.3262,7.079,2277,"['Thriller', 'Drama', 'Crime']"
en,"An American family moves in to the Canterville Chase, a London mansion that has been haunted by ghost Sir Simon De Canterville for 300 years.",The Canterville Ghost,10000000,2000000,89,2023-09-22,5.4129,6.734,47,"['Animation', 'Comedy', 'Family', 'Fantasy']"
ja,"When social worker Rika is sent to check on a traumatized old lady whose family have moved in at the site of the notorious Saeki family murder case, she unwittingly unleashes a cycle of terror that is transmitted via its victims further and further from its original source.",Ju-on: The Grudge,3500000,3657876,92,2002-10-18,5.7587,6.735,869,['Horror']
en,"On New Year's Eve, inside a police station that's about to be closed for good, officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop.",Assault on Precinct 13,30000000,35294470,109,2005-01-19,5.9091,6.176,1141,"['Thriller', 'Action', 'Adventure', 'Crime']"
en,"In a futuristic New York known as New Rome, visionary architect Cesar Catilina dreams of building ""Megalopolis,"" a utopian city that redefines society’s limits. Opposing him is the corrupt Mayor Franklyn Cicero, who clings to power and profit. Between them stands Julia, the mayor’s daughter, whose love for Cesar forces her to choose between loyalty, ambition, and the fate of humanity.",Megalopolis,120000000,14387154,138,2024-09-25,6.2605,5.185,880,"['Science Fiction', 'Drama']"
en,"After a car crash, criminal psychologist Dr. Miranda Grey regains consciousness only to find that she's a patient in the same mental institution that currently employs her. She's been accused of murdering her husband Dr. Douglas Grey — but she has no memory of committing the crime. As she tries to regain her memory and convince her co-worker, Dr. Pete Graham, of her innocence, a vengeful spirit uses her as an earthly pawn, which further convinces everyone of her guilt.",Gothika,40000000,141591324,98,2003-11-21,5.8078,6.115,2391,"['Horror', 'Thriller', 'Mystery']"
